,filename,time,w_pre,w
0,MOD05_L2.A2014001.1240.061.2017308023428.hdf,20140011240,-9999.0,-9.999000474927016
1,MOD05_L2.A2014001.1420.061.2017308023610.hdf,20140011420,-9999.0,-9.999000474927016
2,MOD05_L2.A2014001.1555.061.2017308023314.hdf,20140011555,-9999.0,-9.999000474927016
3,MOD05_L2.A2014001.1735.061.2017308023432.hdf,20140011735,-9999.0,-9.999000474927016
4,MOD05_L2.A2014001.1910.061.2017308023331.hdf,20140011910,-9999.0,-9.999000474927016
5,MOD05_L2.A2014001.2050.061.2017308023336.hdf,20140012050,-9999.0,-9.999000474927016
6,MOD05_L2.A2014001.2225.061.2017308023221.hdf,20140012225,-9999.0,-9.999000474927016
7,MOD05_L2.A2014002.0005.061.2017308031515.hdf,20140020005,-9999.0,-9.999000474927016
8,MOD05_L2.A2014002.1145.061.2017308031156.hdf,20140021145,-9999.0,-9.999000474927016
9,MOD05_L2.A2014002.1325.061.2017308031033.hdf,20140021325,-9999.0,-9.999000474927016
10,MOD05_L2.A2014002.1500.061.2017308031027.hdf,20140021500,-9999.0,-9.999000474927016
11,MOD05_L2.A2014002.1640.061.2017308031201.hdf,20140021640,-9999.0,-9.999000474927016
12,MOD05_L2.A2014002.1815.061.2017308031004.hdf,20140021815,-9999.0,-9.999000474927016
13,MOD05_L2.A2014002.1955.061.2017308031001.hdf,20140021955,-9999.0,-9.999000474927016
14,MOD05_L2.A2014002.2130.061.2017308031204.hdf,20140022130,-9999.0,-9.999000474927016
15,MOD05_L2.A2014002.2310.061.2017308030934.hdf,20140022310,-9999.0,-9.999000474927016
16,MOD05_L2.A2014003.1230.061.2017308032110.hdf,20140031230,-9999.0,-9.999000474927016
17,MOD05_L2.A2014003.1405.061.2017308032108.hdf,20140031405,-9999.0,-9.999000474927016
18,MOD05_L2.A2014003.1545.061.2017308032228.hdf,20140031545,-9999.0,-9.999000474927016
19,MOD05_L2.A2014003.1720.061.2017308032157.hdf,20140031720,-9999.0,-9.999000474927016
20,MOD05_L2.A2014003.1900.061.2017308032125.hdf,20140031900,-9999.0,-9.999000474927016
21,MOD05_L2.A2014003.2035.061.2017308032030.hdf,20140032035,-9999.0,-9.999000474927016
22,MOD05_L2.A2014003.2215.061.2017308032036.hdf,20140032215,-9999.0,-9.999000474927016
23,MOD05_L2.A2014003.2350.061.2017308032019.hdf,20140032350,-9999.0,-9.999000474927016
